objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
544,S14000011,"Coatbridge, Chryston and Bellshill",269133,669782,-4.09475994,55.90328979,80450870.9290055,59017.4727089319
545,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",268306,677738,-4.1118598,55.97449875,190435992.38098,86864.2394391517
562,S14000029,Glasgow Central,257847,663263,-4.27169991,55.84157181,20952351.1016562,24672.1569634176
547,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",305399,610681,-3.49460006,55.38095093,4297340601.26748,445871.155827021
548,S14000015,Dundee East,347896,736729,-2.8484199,56.51969147,151636325.658518,66116.8888980623
549,S14000016,Dundee West,333100,735387,-3.08850002,56.50576019,116677083.129829,53716.8561305946
550,S14000017,Dunfermline and West Fife,304851,688767,-3.53045011,56.0821991,226354011.039703,82409.9235868825
551,S14000018,East Dunbartonshire,256840,674119,-4.29350996,55.93872833,85554599.4132619,55944.8569540938
552,S14000019,"East Kilbride, Strathaven and Lesmahagow",268907,644910,-4.08639002,55.67990875,407851741.416947,126174.5948852
553,S14000020,East Lothian,354854,672351,-2.72434998,55.94207001,679523633.059401,138416.811145706
554,S14000021,East Renfrewshire,251929,653115,-4.36059999,55.74868011,175642689.829474,75221.5174153725
555,S14000022,Edinburgh East,328720,672753,-3.14277005,55.9425087,25264248.6687359,23529.7283406693
556,S14000023,Edinburgh North and Leith,324819,675786,-3.20605993,55.96915054,19402528.9527413,21903.3428287141
557,S14000024,Edinburgh South,326643,669657,-3.17516994,55.91437912,28885750.2997809,23194.1925648789
558,S14000025,Edinburgh South West,318312,666474,-3.30746007,55.88444901,90280459.1457094,51199.8611767756
559,S14000026,Edinburgh West,316926,673573,-3.33178997,55.94797134,98448648.0085823,53796.6340497296
560,S14000027,Na h-Eileanan an Iar,126473,932862,-6.65721989,58.19937897,3031178961.29932,1511311.97110554
561,S14000028,Falkirk,283492,683752,-3.87127995,56.03242874,178996030.316555,83641.8476092916
563,S14000030,Glasgow East,265327,664585,-4.15299988,55.85557938,39882448.8535805,30783.4289602035
564,S14000031,Glasgow North,256777,668773,-4.29167986,55.89072037,17239606.0346931,21648.1045703217
565,S14000032,Glasgow North East,261760,668310,-4.21184015,55.88801956,28027099.8155307,25640.4117213067
566,S14000033,Glasgow North West,253175,669165,-4.34943008,55.89315033,18600056.9021059,20428.4812906141
567,S14000034,Glasgow South,258684,660035,-4.25665998,55.81283188,25223626.6179098,27056.0015744543
568,S14000035,Glasgow South West,253614,663773,-4.33950996,55.84487915,26761256.2089603,26102.7811684661
569,S14000036,Glenrothes,328253,698904,-3.15725994,56.17734146,176440527.474417,69104.0667442794
570,S14000037,Gordon,370511,829595,-2.49175,57.35586166,1519021289.51593,276733.25116591
571,S14000038,Inverclyde,227922,670899,-4.75387001,55.90034866,162792567.67556,61757.8345784458
572,S14000039,"Inverness, Nairn, Badenoch and Strathspey",263458,814404,-4.26163006,57.19998932,4936301045.17241,393715.897583148
573,S14000040,Kilmarnock and Loudoun,255398,633167,-4.2948699,55.57064056,706905071.215213,176627.356166673
574,S14000041,Kirkcaldy and Cowdenbeath,322259,690504,-3.2513299,56.10094833,147507920.467173,82302.7807287531
575,S14000042,Lanark and Hamilton East,290722,650833,-3.74201989,55.73851013,366351335.664517,123550.905658946
631,W07000079,Cardiff West,312437,178939,-3.26293993,51.50257111,51829773.3724465,35025.0448783436
576,S14000043,Linlithgow and East Falkirk,292663,672963,-3.7198801,55.93769073,277274209.922232,117623.77908635
577,S14000044,Livingston,302051,663045,-3.56606007,55.85062027,270773362.932489,96093.2909730215
578,S14000045,Midlothian,330088,659217,-3.1173799,55.82110977,354670953.739384,110254.80126579
579,S14000046,Moray,328024,843593,-3.20186996,57.47682953,2251432564.92764,333492.983659975
580,S14000047,Motherwell and Wishaw,277792,656049,-3.95017004,55.78224945,56966329.6542335,37649.0416768375
581,S14000048,North Ayrshire and Arran,195921,636363,-5.23905993,55.57804108,807779853.574374,216071.785480417
582,S14000049,North East Fife,338928,714312,-2.98890996,56.31724167,771457807.676684,149350.858109824
583,S14000050,Ochil and South Perthshire,293171,714167,-3.72827005,56.30783081,1722939630.50327,247138.825385904
584,S14000051,Orkney and Shetland,434516,0,-1.37344003,60.50495148,2385467681.86735,1833604.64668603
585,S14000052,Paisley and Renfrewshire North,243336,668523,-4.50622988,55.88428116,131857239.988098,55942.2426339257
586,S14000053,Paisley and Renfrewshire South,239382,660301,-4.56450987,55.80918121,138424846.287085,70379.4723421186
596,W07000044,Wrexham,336339,353957,-2.95177007,53.07904053,102989219.057588,48485.6444066689
587,S14000054,Perth and North Perthshire,282156,752482,-3.9235301,56.64923859,3828185772.99368,398257.123837151
588,S14000055,"Ross, Skye and Lochaber",211302,834601,-5.13901997,57.36264038,12570052838.083,2203393.02133966
589,S14000056,Rutherglen and Hamilton West,268594,657784,-4.09755993,55.7954216,51485128.9223819,45762.8180868786
590,S14000057,Stirling,255980,708769,-4.32595015,56.24953079,2258862611.31579,287450.177104806
591,S14000058,West Aberdeenshire and Kincardine,342584,792624,-2.94729996,57.02112961,3267065071.80512,399281.069971022
592,S14000059,West Dunbartonshire,242904,681587,-4.52074003,56.00141144,179431831.335996,73471.4934605626
593,W07000041,Ynys Mon,245222,378346,-4.32290983,53.27944946,714680570.913521,181067.411923059
594,W07000042,Delyn,318273,370838,-3.22570992,53.22827911,282257568.470641,108672.905739481
595,W07000043,Alyn and Deeside,330102,362484,-3.04672003,53.15488815,152990418.999797,76991.0132247587
597,W07000045,Llanelli,249768,205472,-4.17667007,51.72777939,235513683.935011,91383.3042264719
598,W07000046,Gower,256421,192102,-4.07490015,51.60939026,298645665.793175,128703.945473565
599,W07000047,Swansea West,262790,193117,-3.98338008,51.62009811,34252100.2409517,28696.2384339065
600,W07000048,Swansea East,267106,196223,-3.92226005,51.64905167,48604384.0809696,34074.3585618162
601,W07000049,Aberavon,281996,189115,-3.70475006,51.58848953,181239427.129929,89898.2184027004
602,W07000050,Cardiff Central,319313,179182,-3.16394997,51.50577927,15577903.4196058,17696.5712838684
603,W07000051,Cardiff North,316056,181631,-3.2114501,51.52732086,43656190.6367448,32970.3455234753
604,W07000052,Rhondda,296949,196169,-3.49106002,51.65483093,100759691.238529,44867.6796528935
605,W07000053,Torfaen,327169,200182,-3.05515003,51.69564056,117981306.154161,69312.3533176574
606,W07000054,Monmouth,337812,209231,-2.90280008,51.77827072,833825589.971809,180754.392250311
607,W07000055,Newport East,338924,188370,-2.88302994,51.59085083,123864691.560236,60970.7635104567
608,W07000056,Newport West,328762,186182,-3.02924991,51.56998825,97551521.8588659,63648.0257266124
609,W07000057,Arfon,256909,361593,-4.14025021,53.13225174,408128954.102292,104897.118421454
610,W07000058,Aberconwy,276098,360888,-3.8533299,53.13071823,609625767.587348,140802.222691877
626,W07000074,Ogmore,291741,187410,-3.56361008,51.57513046,202915692.135678,70057.2478499358
611,W07000059,Clwyd West,297156,361691,-3.53898001,53.14242172,925038690.103692,190119.535858163
612,W07000060,Vale of Clwyd,306235,374013,-3.40691996,53.25482178,215479545.916461,95304.0372467992
613,W07000061,Dwyfor Meirionnydd,273979,326158,-3.87144995,52.81819916,2145084214.25045,374253.644776151
614,W07000062,Clwyd South,327082,342911,-3.08743,52.97856903,627090122.714191,166782.72796855
615,W07000063,Montgomeryshire,301718,304472,-3.45350003,52.62908936,2185405001.77079,280349.471635769
616,W07000064,Ceredigion,267126,268437,-3.94993997,52.29795074,1783274302.88307,255837.987663434
627,W07000075,Pontypridd,307034,185796,-3.34257007,51.56335068,104583862.28716,58997.1478903904
628,W07000076,Caerphilly,316860,188276,-3.2014401,51.58718109,115015651.199622,59226.3990396642
629,W07000077,Islwyn,320517,196276,-3.15048003,51.65961838,113273772.093141,56241.2959604173
630,W07000078,Vale of Glamorgan,302293,173083,-3.40741992,51.44826889,315163520.24587,82755.2051894826
617,W07000065,Preseli Pembrokeshire,193261,226426,-5.00630999,51.89794159,1176245296.71211,270604.855669705
618,W07000066,Carmarthen West and South Pembrokeshire,216128,213332,-4.66739988,51.78834915,1032097180.7452,228439.327996042
619,W07000067,Carmarthen East and Dinefwr,262869,228244,-3.99612999,51.9357605,1560742041.75655,247247.300967722
620,W07000068,Brecon and Radnorshire,305328,248413,-3.38434005,52.12588882,3011680597.50042,306887.505417183
621,W07000069,Neath,280613,203826,-3.72972989,51.72040939,264051239.459298,82347.63427534
622,W07000070,Cynon Valley,297160,203213,-3.49008989,51.71818161,181041429.882969,76178.6644786843
623,W07000071,Merthyr Tydfil and Rhymney,307976,203618,-3.33367991,51.72370148,162939345.146858,64031.2565613384
624,W07000072,Blaenau Gwent,318236,206771,-3.18592,51.75363922,109263433.438705,58169.7930524609
625,W07000073,Bridgend,287202,179713,-3.62662005,51.50505066,83968154.2791485,47695.850646076
632,W07000080,Cardiff South and Penarth,317979,171824,-3.1814599,51.43944931,48530719.8081221,48907.5300211741
