objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
137,E14000666,Dewsbury,421195,414257,-1.68102002,53.62443161,126411999.612059,61905.7068395818
156,E14000685,Eastleigh,447457,116523,-1.32584,50.94618988,73001344.4005632,49968.6848181745
118,E14000647,Copeland,314472,504227,-3.31978989,54.4262619,1182204006.40977,191866.963897103
119,E14000648,Corby,496882,284831,-0.57574999,52.45286179,553779404.155806,137079.083963018
120,E14000649,Coventry North East,436254,281108,-1.46825004,52.42676926,26360256.3654627,24495.2477542566
121,E14000650,Coventry North West,430295,281733,-1.55581999,52.4327507,39939491.0671447,26680.2182122999
122,E14000651,Coventry South,432903,277293,-1.51789999,52.39268875,33603352.8371743,35628.1567221943
123,E14000652,Crawley,526390,137581,-0.19532999,51.12356949,47095409.9088543,33802.3395576454
124,E14000653,Crewe and Nantwich,371379,350813,-2.42844009,53.05381012,133786492.712593,51477.4760051839
125,E14000654,Croydon Central,535759,165277,-0.05104,51.37033081,25838456.2731997,24451.46051608
126,E14000655,Croydon North,532366,168762,-0.09846,51.40245056,17417799.4719247,16822.5559667375
127,E14000656,Croydon South,532475,160711,-0.09989,51.3300705,42509950.8886729,30900.804843824
128,E14000657,Dagenham and Rainham,551634,183167,0.184512,51.52706146,40406279.2984653,39719.1239478495
129,E14000658,Darlington,429096,515409,-1.55189002,54.53313065,30210055.6435609,25737.4517380092
130,E14000659,Dartford,556489,173122,0.24999499,51.43547821,85799031.628976,57013.2975930741
131,E14000660,Daventry,469194,268437,-0.98648,52.30971146,748538288.723655,173674.872164418
132,E14000661,Denton and Reddish,391356,394907,-2.13161993,53.45085907,25764687.8935493,31812.0123146265
133,E14000662,Derby North,432427,336128,-1.51912999,52.92161179,28267651.336982,29420.6147235987
134,E14000663,Derby South,436265,333095,-1.46238995,52.89410019,31207063.0465984,25134.8313231819
135,E14000664,Derbyshire Dales,420966,359002,-1.68812001,53.12778854,910811107.426816,201435.740170962
138,E14000667,Don Valley,460102,396080,-1.09630001,53.45806885,249108615.261991,105207.476518983
139,E14000668,Doncaster Central,460833,404244,-1.08371997,53.53136063,59095500.6401481,43343.9988175537
140,E14000669,Doncaster North,455325,408912,-1.16597998,53.5739212,258976495.495729,101815.050266483
141,E14000670,Dover,629114,147136,1.27660501,51.17752838,211475074.982,77738.4919588594
142,E14000671,Dudley North,392287,291911,-2.11509991,52.52502823,23235407.7388255,21815.5624883894
143,E14000672,Dudley South,391503,288292,-2.12655997,52.49248123,24419482.7708074,22215.3537669822
144,E14000673,Dulwich and West Norwood,532835,172745,-0.09023,51.43812943,14261172.9424493,17755.4898385044
145,E14000674,Ealing Central and Acton,519016,181119,-0.28613001,51.51646042,16794310.1202495,18930.2569771721
146,E14000675,Ealing North,513800,183124,-0.36061999,51.53556061,22621261.9448796,22222.507310224
147,E14000676,"Ealing, Southall",514022,180335,-0.35832,51.51044083,15049745.0287434,20826.4091781252
148,E14000677,Easington,441506,544447,-1.35600996,54.79320908,120857599.234084,58902.7853907421
149,E14000678,East Devon,305686,90923,-3.33714008,50.71025085,332395735.395708,82117.0430925779
150,E14000679,East Ham,542702,183073,0.055806,51.52854156,19077981.805201,24048.5778930926
151,E14000680,East Hampshire,474404,130897,-0.93936998,51.07257843,463518048.470739,107083.00345159
152,E14000681,East Surrey,535127,149673,-0.06601,51.23025131,260082425.592408,74785.3238588812
153,E14000682,East Worthing and Shoreham,516687,106109,-0.34401,50.84273911,55037196.9557149,38146.8954380934
154,E14000683,East Yorkshire,494376,455529,-0.56217003,53.98722076,1052686781.6974,213652.581395068
155,E14000684,Eastbourne,560044,100404,0.26886699,50.7811203,56528858.9607739,30759.5996357586
191,E14000720,Hackney North and Stoke Newington,533597,186241,-0.07416,51.5592308,9662812.93574099,13110.8319355357
157,E14000686,Eddisbury,355955,357876,-2.6595099,53.11624908,714522892.747266,165795.465941156
158,E14000687,Edmonton,534700,194035,-0.05527,51.62900925,20039081.64641,19787.7896110405
159,E14000688,Ellesmere Port and Neston,342023,374067,-2.87057996,53.26042938,117507072.434194,70241.4154296145
160,E14000689,Elmet and Rothwell,437927,442179,-1.42463005,53.87445068,246272209.897356,100499.744008771
161,E14000690,Eltham,542694,174625,0.052278,51.45262909,22059781.7869443,21427.1494734413
162,E14000691,Enfield North,533311,198224,-0.07373,51.66698074,38724848.8699437,30465.3674719757
163,E14000692,"Enfield, Southgate",529426,196196,-0.13063,51.64966965,24670200.2254925,31706.5797651391
164,E14000693,Epping Forest,542999,199636,0.066831,51.67729187,124548744.844893,60239.4399158435
165,E14000694,Epsom and Ewell,520890,161165,-0.26593,51.33673096,51117198.9362183,32422.1090543184
166,E14000695,Erewash,446887,337932,-1.30382001,52.93675995,61754132.4073934,43452.0730963107
167,E14000696,Erith and Thamesmead,547906,179127,0.129118,51.49174118,23443951.5733605,19725.3288386678
168,E14000697,Esher and Walton,513123,163563,-0.37661999,51.35987854,78538240.4556388,39386.4866441774
169,E14000698,Exeter,293158,92888,-3.51507998,50.72573853,37555304.3936432,28018.3321982471
170,E14000699,Fareham,455613,106747,-1.21124005,50.8575592,63084744.4313717,46404.9645693185
171,E14000700,Faversham and Mid Kent,589077,153142,0.70771301,51.24610138,389993586.74568,123481.47337862
172,E14000701,Feltham and Heston,510743,174852,-0.40727001,51.46181107,29654288.508982,30010.5009485989
173,E14000702,Filton and Bradley Stoke,359917,181651,-2.57924008,51.53232956,80051773.5421658,52699.9929935821
174,E14000703,Finchley and Golders Green,525192,189003,-0.19436,51.58597946,21445103.956652,21430.9941687207
192,E14000721,Hackney South and Shoreditch,534514,184214,-0.06172,51.54079819,10639018.5479031,17473.4944969498
175,E14000704,Folkestone and Hythe,610318,138086,1.00282395,51.10348129,437299303.701799,130830.144087354
176,E14000705,Forest of Dean,370366,223233,-2.4321599,51.90684128,615375552.630581,183306.694143713
177,E14000706,Fylde,340582,433974,-2.90356994,53.79867172,172732107.005135,72245.9812907188
178,E14000707,Gainsborough,499314,390326,-0.50774002,53.40044022,1205230946.06092,217864.268537773
179,E14000708,Garston and Halewood,343589,385827,-2.84921002,53.36629868,50813063.6508173,32857.7358123906
180,E14000709,Gateshead,426033,561058,-1.59514999,54.94350815,24980089.983714,24920.6486458812
181,E14000710,Gedling,462238,343793,-1.07431996,52.98788071,38842993.1617428,37459.1892233665
182,E14000711,Gillingham and Rainham,580021,165775,0.584472,51.36251068,29330588.6416354,25447.5098442677
183,E14000712,Gloucester,384048,216342,-2.23295999,51.84545135,38012840.0484612,28756.8691540011
184,E14000713,Gosport,458429,101452,-1.17207003,50.80966949,37304188.4363164,31433.6126497349
185,E14000714,Grantham and Stamford,502953,323566,-0.47439,52.79985046,682554709.860981,150081.925982007
186,E14000715,Gravesham,566969,169115,0.39874399,51.39649963,99284521.4498009,49767.4039931992
187,E14000716,Great Grimsby,526243,408047,-0.09582,53.55390167,28682880.5538517,25253.9827126448
188,E14000717,Great Yarmouth,646760,315882,1.64949596,52.68439865,180634872.036523,76381.8750309587
189,E14000718,Greenwich and Woolwich,541975,178075,0.043321,51.48381042,16308903.9225029,28284.4796132484
190,E14000719,Guildford,499332,149061,-0.57866001,51.23209,186120896.243102,96803.9306227228
193,E14000722,Halesowen and Rowley Regis,396407,285885,-2.05431008,52.47090149,28878187.6050139,26886.3756211852
194,E14000723,Halifax,408844,427072,-1.86739004,53.73997116,58230711.3245104,42792.3363797034
195,E14000724,Haltemprice and Howden,488260,432100,-0.66215003,53.77777863,436094359.506484,136792.275407068
196,E14000725,Halton,350931,385329,-2.73880005,53.36254883,52954035.5264148,47632.2675705373
197,E14000726,Hammersmith,523262,179604,-0.22549,51.50194168,13319917.5217684,15214.6745770954
198,E14000727,Hampstead and Kilburn,525224,184366,-0.19554999,51.54430008,13055073.2250436,18283.3861727969
199,E14000728,Harborough,467129,293798,-1.01169002,52.53792953,203725241.405548,87936.5580429768
200,E14000729,Harlow,544823,209764,0.097401,51.7678299,79158706.1979541,59641.3931435915
201,E14000730,Harrogate and Knaresborough,433778,459121,-1.48587,54.02698898,148789176.813999,69845.8129438423
202,E14000731,Harrow East,516589,191686,-0.31759,51.61193848,25918622.5966064,23279.6686390701
203,E14000732,Harrow West,514330,188003,-0.35139999,51.57929993,18256123.5567966,18845.9445316599
204,E14000733,Hartlepool,447157,531476,-1.27023005,54.67615891,96240015.0671291,50863.5056911547
205,E14000734,Harwich and North Essex,606257,226703,0.99667799,51.90068817,396199103.576867,173842.257738107
206,E14000735,Hastings and Rye,586062,116890,0.64591098,50.9214592,179439531.887046,83737.2129652214
207,E14000736,Havant,471155,107782,-0.99024999,50.8651619,48173965.68042,59416.6362980502
208,E14000737,Hayes and Harlington,508166,177727,-0.44347,51.48815155,45109615.7068338,30659.948259899
209,E14000738,Hazel Grove,395593,389164,-2.06773996,53.39928818,57230590.3133503,36576.3086239536
243,E14000772,Kingston upon Hull North,507982,431612,-0.36316001,53.76968002,25533175.3223535,26219.0675163299
210,E14000739,Hemel Hempstead,503880,211168,-0.49526,51.78953934,108176045.076272,58416.6979230393
211,E14000740,Hemsworth,440578,416338,-1.38769996,53.64199829,150112433.470416,63521.687888331
212,E14000741,Hendon,521216,191863,-0.25073001,51.61254883,31228793.8643058,27266.9800788698
213,E14000742,Henley,461998,194076,-1.10541999,51.6420784,681416410.237017,201985.008665845
214,E14000743,Hereford and South Herefordshire,342784,230969,-2.83435011,51.97423172,722892210.656119,179954.951986927
215,E14000744,Hertford and Stortford,540248,214919,0.033228,51.81531143,156074499.038819,75508.1869151947
216,E14000745,Hertsmere,519774,199352,-0.26899001,51.68016815,98413383.3826552,51593.062662787
217,E14000746,Hexham,390212,567671,-2.15456009,55.00350952,2431842566.45001,304892.566763843
218,E14000747,Heywood and Middleton,385746,412106,-2.21688008,53.60533142,71216063.0923482,46051.7910577344
219,E14000748,High Peak,410474,387660,-1.84397995,53.38568878,538854167.897248,134140.023871117
220,E14000749,Hitchin and Harpenden,517305,222266,-0.29695001,51.88661957,252660990.651403,115484.924709403
221,E14000750,Holborn and St Pancras,529119,183943,-0.13957,51.53961945,14398784.0146043,18197.174752057
222,E14000751,Hornchurch and Upminster,556974,186879,0.26308101,51.55894852,58391938.7323267,43667.6044940762
223,E14000752,Hornsey and Wood Green,529562,189749,-0.13104001,51.59170151,15531312.7104293,20140.4390406556
224,E14000753,Horsham,516728,128429,-0.33627999,51.04336166,344866507.020084,129796.172769372
225,E14000754,Houghton and Sunderland South,436071,550396,-1.43980002,54.84708023,66194487.8447337,37049.4128316996
226,E14000755,Hove,526925,107165,-0.1983,50.85007858,24706254.3160491,20049.0323281269
227,E14000756,Huddersfield,416063,417801,-1.75841999,53.65647125,46400445.4750003,32920.2240731495
228,E14000757,Huntingdon,518908,268395,-0.25759,52.3008194,332061156.251934,143959.435191563
229,E14000758,Hyndburn,374762,428561,-2.38421988,53.75281143,89602479.0274164,43899.6064961091
230,E14000759,Ilford North,544659,190971,0.087245,51.59901047,30178032.640113,25546.5800099862
231,E14000760,Ilford South,544661,186984,0.085632,51.56317902,15055303.9632428,17019.0387747922
232,E14000761,Ipswich,617201,244449,1.16672301,52.05583954,33488244.1732186,25340.9482215164
233,E14000762,Isle of Wight,447186,85950,-1.33361995,50.67129898,380548000.525636,107880.457689536
234,E14000763,Islington North,530598,186352,-0.11736,51.56092834,6720704.66627339,13339.0584169245
235,E14000764,Islington South and Finsbury,531411,183491,-0.1067,51.53503036,6623406.06968459,12818.724799419
236,E14000765,Jarrow,431908,562657,-1.50327003,54.9575386,47331749.1805457,35943.072315836
237,E14000766,Keighley,405387,444493,-1.91951001,53.89659119,167737652.107433,70196.6177372984
238,E14000767,Kenilworth and Southam,442375,260518,-1.38082004,52.24124146,621789127.988127,178050.051274229
239,E14000768,Kensington,525530,179388,-0.19291,51.49950027,7431736.92464361,15606.1841346342
240,E14000769,Kettering,483866,282852,-0.76773,52.43722916,235206971.443336,79997.893259677
241,E14000770,Kingston and Surbiton,519508,166863,-0.28385001,51.38822937,28829275.1977698,27522.5765622108
242,E14000771,Kingston upon Hull East,512460,431504,-0.29528999,53.76776886,28724862.676959,24697.2316007429
244,E14000773,Kingston upon Hull West and Hessle,507415,428279,-0.37292001,53.73984909,22580097.6581589,28822.4338768189
245,E14000774,Kingswood,367363,172198,-2.47101998,51.44781113,42734696.6366969,36985.6025422405
246,E14000775,Knowsley,343147,394435,-2.85739994,53.44361115,53580926.3441262,40155.9936885611
247,E14000776,Lancaster and Fleetwood,353827,456824,-2.70596004,54.00537109,438833538.118202,157301.706459814
248,E14000777,Leeds Central,431014,431345,-1.53085995,53.77753067,40685381.5895475,29393.2185289168
249,E14000778,Leeds East,435457,435028,-1.46301997,53.81034851,33767917.537345,29861.2831128474
250,E14000779,Leeds North East,430948,438845,-1.53111005,53.84494019,38887720.9359245,27259.8254466111
251,E14000780,Leeds North West,423969,440852,-1.63701999,53.86334991,60354578.0887637,48137.6167748086
252,E14000781,Leeds West,425371,433988,-1.61626995,53.80158997,31069385.422617,28992.9509711699
253,E14000782,Leicester East,461961,305445,-1.08570004,52.64323044,23079452.5695612,19780.6654827447
254,E14000783,Leicester South,458931,302341,-1.13102996,52.61566925,21679580.4642294,20078.5033300483
255,E14000784,Leicester West,456222,306111,-1.17039001,52.64984131,27670801.748968,23626.915221027
256,E14000785,Leigh,365379,399156,-2.52323008,53.48797989,67416548.5402054,44119.0393361962
257,E14000786,Lewes,545745,107945,0.069178,50.85266113,369582577.495008,123531.980550516
258,E14000787,Lewisham East,538644,173593,-0.00637,51.44435883,14598755.7013093,22831.724604073
259,E14000788,Lewisham West and Penge,536088,170861,-0.04418,51.42042923,15519034.6308206,19727.9059415031
260,E14000789,"Lewisham, Deptford",537339,175928,-0.02423,51.4656601,12265218.2434453,17300.8978468204
261,E14000790,Leyton and Wanstead,539833,187830,0.016364,51.5719986,15505688.7067046,16902.2627302811
262,E14000791,Lichfield,412225,317506,-1.82029998,52.75503922,328352728.699856,102428.97673847
263,E14000792,Lincoln,495467,370186,-0.57163,53.22018051,64155653.1786176,45697.8257726618
264,E14000793,"Liverpool, Riverside",336390,388230,-2.95785999,53.38708115,26179747.4143862,28230.7386014629
265,E14000794,"Liverpool, Walton",336910,394442,-2.95128989,53.44297028,18876598.3925959,24897.5930445699
266,E14000795,"Liverpool, Wavertree",339023,390195,-2.91865993,53.40504837,16660885.3269713,20037.5692599097
267,E14000796,"Liverpool, West Derby",339745,393988,-2.90853,53.43922043,20649047.1253962,22776.8066626876
268,E14000797,Loughborough,453785,319805,-1.20418,52.7731781,129183788.338736,66236.0694184541
269,E14000798,Louth and Horncastle,535171,382507,0.0279,53.32226181,1382069652.46182,203740.740810665
270,E14000799,Ludlow,350065,287901,-2.73678994,52.48674011,1549985242.75785,278838.572994253
271,E14000800,Luton North,507002,224395,-0.44591999,51.90782928,19390423.0561092,18943.2722484273
272,E14000801,Luton South,508555,220571,-0.42456001,51.87316132,54891769.2234431,33077.8171937458
273,E14000802,Macclesfield,390591,374746,-2.14252996,53.26963043,303225848.821092,79700.5555531915
274,E14000803,Maidenhead,484373,178129,-0.78596997,51.49581146,183901739.243546,74130.7205046305
275,E14000804,Maidstone and The Weald,575796,149220,0.515706,51.21511078,220555602.866039,99062.781064298
276,E14000805,Makerfield,358209,402916,-2.63178992,53.52125168,54965363.6569069,42614.9322168274
277,E14000806,Maldon,588678,201762,0.72793001,51.68291855,380490088.69359,166176.381150624
278,E14000807,Manchester Central,386354,398829,-2.20710993,53.48601151,28134363.8073397,29219.0859998593
279,E14000808,"Manchester, Gorton",386935,395086,-2.19819999,53.45238113,17791167.6437605,22544.560382924
280,E14000809,"Manchester, Withington",384007,392132,-2.24214005,53.42575073,18005606.3033028,22300.740018773
281,E14000810,Mansfield,455047,363637,-1.17804003,53.16703033,78367820.1568093,45444.4193315813
282,E14000811,Meon Valley,462539,119561,-1.11064994,50.97206879,402960926.665137,112368.453690723
283,E14000812,Meriden,418290,281451,-1.73240995,52.4307518,144498714.52123,81995.6056268378
284,E14000813,Mid Bedfordshire,504718,239346,-0.47455999,52.04264069,459042755.221596,138102.022890318
285,E14000814,Mid Derbyshire,439737,341743,-1.40972996,52.97158813,90297387.1976487,67770.8375109802
286,E14000815,Mid Dorset and North Poole,391551,94607,-2.12111998,50.75099182,175811422.954711,94672.4345260051
287,E14000816,Mid Norfolk,597388,311524,0.91756898,52.66550064,763105461.29789,145431.095180364
288,E14000817,Mid Sussex,527731,126921,-0.17994,51.02746964,187061627.35575,116270.119763168
289,E14000818,Mid Worcestershire,393275,253990,-2.09977007,52.18412018,438098191.452246,187813.40674809
290,E14000819,Middlesbrough,450286,518464,-1.22394001,54.55892944,29503243.8695093,27940.5319735969
291,E14000820,Middlesbrough South and East Cleveland,465116,516429,-0.99510998,54.5389595,200728696.761831,87025.3598934712
292,E14000821,Milton Keynes North,486764,246259,-0.73449999,52.10786819,227920048.913934,69607.8368896365
293,E14000822,Milton Keynes South,486551,236093,-0.74019003,52.01652908,81634285.4000372,53981.1004988568
294,E14000823,Mitcham and Morden,528027,168563,-0.16087,51.40164948,16726710.9481975,22375.4701308361
295,E14000824,Mole Valley,514427,147482,-0.36305001,51.21508026,369451497.581191,107363.467398237
296,E14000825,Morecambe and Lunesdale,353509,468965,-2.7126801,54.11444855,248927058.146286,116133.044815571
297,E14000826,Morley and Outwood,431161,425385,-1.52923,53.72396088,67428612.314136,50762.0210394523
298,E14000827,New Forest East,435181,105110,-1.50167,50.84444046,398325843.429789,104477.02535327
299,E14000828,New Forest West,418339,108094,-1.74073005,50.87205124,357208803.765624,139393.186541682
300,E14000829,Newark,475944,357675,-0.86691999,53.11088181,699015952.97363,175570.166848337
301,E14000830,Newbury,447318,172095,-1.32050002,51.44586945,596160639.148201,130152.810101685
302,E14000831,Newcastle upon Tyne Central,422342,565906,-1.65240002,54.98725128,23086059.5718382,20098.1236476366
303,E14000832,Newcastle upon Tyne East,427215,565674,-1.57626998,54.98492813,18835315.0510233,19387.3213321653
304,E14000833,Newcastle upon Tyne North,421039,569925,-1.67246997,55.02341843,71526105.8694988,46616.21493289
305,E14000834,Newcastle-under-Lyme,380356,348791,-2.29438996,53.03604126,82254474.9258932,44988.8285177012
306,E14000835,Newton Abbot,288933,74357,-3.56936002,50.55836868,204916603.615752,77054.2655772425
307,E14000836,"Normanton, Pontefract and Castleford",447021,422148,-1.28936994,53.69367981,86511866.6180967,56903.0321095167
329,E14000858,North West Leicestershire,439111,316252,-1.42209005,52.74250031,278883898.556485,95528.4954864967
379,E14000908,Rushcliffe,462332,332669,-1.07505,52.88788986,311219223.705464,94760.42107066
308,E14000837,North Cornwall,212024,78838,-4.65642023,50.57894135,1205131587.73229,252567.293477485
309,E14000838,North Devon,265110,132524,-3.92690992,51.07612991,1091327798.6156,200507.327417817
310,E14000839,North Dorset,390177,113279,-2.14109993,50.91886902,881973697.603552,179628.784281821
311,E14000840,North Durham,423154,551799,-1.64084005,54.86045074,105377482.776012,55624.2905452442
312,E14000841,North East Bedfordshire,509132,258803,-0.40399,52.2166481,537411699.494062,164622.198123474
313,E14000842,North East Cambridgeshire,537554,293446,0.025967,52.52154922,729905430.038168,166842.89959174
314,E14000843,North East Derbyshire,437369,365923,-1.44219005,53.1891098,228062518.231639,119122.277464736
315,E14000844,North East Hampshire,477217,151423,-0.89482999,51.2567482,402314265.843048,135471.80022186
316,E14000845,North East Hertfordshire,533034,227739,-0.06642,51.93227005,503368765.670638,136161.918623546
317,E14000846,North East Somerset,364116,161999,-2.51671004,51.35591125,321113755.728816,132104.579699587
430,E14000959,Spelthorne,507012,169622,-0.46254,51.41551971,52207022.1289279,34687.3715731289
318,E14000847,North Herefordshire,348792,251361,-2.74995995,52.15813828,1456985282.35382,286557.645263315
319,E14000848,North Norfolk,623473,330845,1.315804,52.82878876,725923505.517934,202507.250197041
320,E14000849,North Shropshire,349128,330083,-2.75711012,52.86582184,933132075.997091,218838.366898079
321,E14000850,North Somerset,347309,169216,-2.75913,51.41949081,229309395.340782,84043.0096203309
322,E14000851,North Swindon,417320,190622,-1.75124002,51.61415863,103431359.458031,50493.4277575231
323,E14000852,North Thanet,625041,165662,1.23007703,51.34545898,139801083.552407,67099.3357775821
324,E14000853,North Tyneside,429481,568918,-1.54052997,55.01395035,46323756.4910809,41105.8505530132
325,E14000854,North Warwickshire,424687,296012,-1.63724995,52.56140137,266578561.270368,117094.747421629
326,E14000855,North West Cambridgeshire,522387,289492,-0.1989,52.48963928,747961353.459493,196889.921328425
327,E14000856,North West Durham,404359,544374,-1.93373001,54.79423904,701159215.760423,166293.463278998
328,E14000857,North West Hampshire,446060,151304,-1.34129,51.25904083,588178833.807275,139435.162253256
330,E14000859,North West Norfolk,574445,328868,0.58789599,52.82912064,786052622.827093,181073.174857437
331,E14000860,North Wiltshire,396155,182656,-2.05682993,51.54278183,714183575.130933,175935.096287421
332,E14000861,Northampton North,477324,263094,-0.86848003,52.26060104,22063919.3097966,22053.9580640578
333,E14000862,Northampton South,480096,261363,-0.82828999,52.24464035,32245107.950596,35698.8141055215
334,E14000863,Norwich North,623503,311330,1.30297005,52.6536293,36060069.3340808,30309.6624058334
335,E14000864,Norwich South,621219,308012,1.26703894,52.62479019,30548836.6058268,68157.7177183917
336,E14000865,Nottingham East,458309,341526,-1.13325,52.96794891,18036183.4182851,20068.9636409317
337,E14000866,Nottingham North,454115,344384,-1.19520998,52.99406815,24340310.3967263,29941.7620721071
338,E14000867,Nottingham South,454681,339273,-1.18763995,52.94807816,33235647.6641216,33805.3472163336
339,E14000868,Nuneaton,431696,292172,-1.53422999,52.52651978,80732364.087014,48309.9975289475
340,E14000869,Old Bexley and Sidcup,548002,173628,0.128198,51.44231033,23608307.5907126,24257.2611584138
341,E14000870,Oldham East and Saddleworth,398906,408181,-2.01799011,53.57025146,103998797.86597,49727.6954337179
342,E14000871,Oldham West and Royton,390878,405957,-2.13913989,53.55017853,30517172.7793269,27642.2132634086
343,E14000872,Orpington,544861,162534,0.078513,51.34342957,79537853.8879411,49553.3205578613
344,E14000873,Oxford East,453747,205162,-1.22293997,51.74259186,31381847.9771577,25743.451474969
345,E14000874,Oxford West and Abingdon,447995,207687,-1.30589998,51.76580811,127142129.479217,68350.0726738162
346,E14000875,Pendle,387637,443368,-2.18956995,53.88636017,166912810.33913,66104.8786970871
347,E14000876,Penistone and Stocksbridge,423088,401791,-1.65330994,53.51231003,294345614.100428,87849.1058481177
348,E14000877,Penrith and The Border,356508,545631,-2.67810988,54.80366135,3122750481.36263,402494.09333459
349,E14000878,Peterborough,524756,303751,-0.15866999,52.61722183,173056941.452849,60695.9432133003
350,E14000879,"Plymouth, Moor View",248145,59475,-4.13878012,50.41543961,33742524.3836456,27503.624564458
351,E14000880,"Plymouth, Sutton and Devonport",247629,55529,-4.14444017,50.37984848,20813073.1960138,25897.3338003148
352,E14000881,Poole,403952,91153,-1.94536996,50.7199707,29822986.1871318,42135.1795523463
353,E14000882,Poplar and Limehouse,537808,180645,-0.01564,51.50793839,10382735.8661047,23574.012705523
354,E14000883,Portsmouth North,466078,105233,-1.06285,50.84283829,25920068.6211042,46158.832108608
355,E14000884,Portsmouth South,465420,99877,-1.07314003,50.79476166,13378870.1261629,17953.5491876413
356,E14000885,Preston,354517,430860,-2.69157004,53.77209091,27065217.3731637,28931.1363066377
357,E14000886,Pudsey,422501,438013,-1.65954995,53.83789825,54347263.8969386,53230.1022323836
358,E14000887,Putney,523535,174102,-0.22348,51.45243073,13367070.9884522,17076.3869317136
359,E14000888,Rayleigh and Wickford,584214,192879,0.65875798,51.60461044,115018569.950504,72944.9621962149
360,E14000889,Reading East,473252,173539,-0.94709003,51.45610046,27156638.1337754,35170.2231499428
361,E14000890,Reading West,467724,172897,-1.02675998,51.45101166,50108080.5010996,39584.6466168127
362,E14000891,Redcar,458878,521567,-1.09047997,54.58589172,72876101.363091,46922.2699457206
363,E14000892,Redditch,401238,258510,-1.98327994,52.22480011,149367983.080972,74818.2478752649
364,E14000893,Reigate,525733,152598,-0.19946,51.25867844,112671947.958788,57288.1497778547
365,E14000894,Ribble Valley,369878,446287,-2.46003008,53.91186142,635198236.894431,154318.704820229
366,E14000895,Richmond (Yorks),412781,495786,-1.80483997,54.35744858,2078915101.29406,322253.640865797
367,E14000896,Richmond Park,519834,173049,-0.27708,51.44375992,38129242.9457354,33386.1699864471
368,E14000897,Rochdale,392416,415285,-2.11615992,53.63404083,85524931.5885445,47046.3749473611
369,E14000898,Rochester and Strood,578207,175196,0.563173,51.44770813,147936249.420595,92782.1197904717
370,E14000899,Rochford and Southend East,591941,188292,0.767699,51.56084061,91647260.7171448,80792.4249323639
371,E14000900,Romford,551408,190670,0.184484,51.5945282,30737361.9708881,27512.2990007565
372,E14000901,Romsey and Southampton North,436034,128163,-1.48728001,51.05168152,422161040.620919,131524.760075061
373,E14000902,Rossendale and Darwen,372446,420955,-2.41865993,53.68432999,217164733.884931,104467.771046727
374,E14000903,Rother Valley,449699,386114,-1.25452995,53.36957932,167610475.573874,59687.1266114185
375,E14000904,Rotherham,442371,392231,-1.36382997,53.42518997,46184155.2898439,41841.9501856109
376,E14000905,Rugby,446258,281329,-1.3211,52.42800903,245282432.84499,74923.8830380705
377,E14000906,"Ruislip, Northwood and Pinner",508439,189155,-0.43601999,51.59082031,48392443.536577,35582.5091052079
378,E14000907,Runnymede and Weybridge,503012,166624,-0.52091002,51.38930893,96112702.4529381,47242.7598713156
431,E14000960,St Albans,514325,205423,-0.34577999,51.73587036,66725029.0640293,51595.0360985165
380,E14000909,Rutland and Melton,484648,311819,-0.74884999,52.69746017,1118734846.89877,186640.399959684
381,E14000910,Saffron Walden,559857,226819,0.32296699,51.91696167,798464390.774844,162309.413754199
382,E14000911,Salford and Eccles,379701,400390,-2.30747008,53.49982071,32513301.5158875,29097.5040909871
383,E14000912,Salisbury,412884,132088,-1.81740999,51.08795166,612459116.602897,158236.949983136
384,E14000913,Scarborough and Whitby,485778,506118,-0.67883003,54.44324875,733716563.185776,176288.497982811
385,E14000914,Scunthorpe,494110,405551,-0.58143002,53.53820038,180914771.274776,76869.1977458958
386,E14000915,Sedgefield,431052,526108,-1.52052999,54.62916183,365760836.435961,151956.08918056
387,E14000916,Sefton Central,331658,404014,-3.03242993,53.52833176,82378457.1482995,60534.8790695091
388,E14000917,Selby and Ainsty,449167,442159,-1.25370002,53.87332916,849648683.200732,223925.420330069
389,E14000918,Sevenoaks,552010,159916,0.17996199,51.31803894,247580121.633073,83083.3304178333
390,E14000919,Sheffield Central,435726,386662,-1.46445,53.37562943,20033168.3083619,26465.0383176913
391,E14000920,Sheffield South East,440551,388350,-1.39172006,53.39044952,45933037.3270342,42341.8995633703
392,E14000921,"Sheffield, Brightside and Hillsborough",435434,390928,-1.46836996,53.41399002,26127371.8605302,23329.7417756489
393,E14000922,"Sheffield, Hallam",426415,388888,-1.60422003,53.3961792,135919418.585788,64591.5651539211
394,E14000923,"Sheffield, Heeley",436622,384071,-1.45128,53.35227966,23984138.1803771,24375.7110697117
395,E14000924,Sherwood,460406,358481,-1.09886003,53.12010956,305960506.525695,109277.647756945
396,E14000925,Shipley,412611,439633,-1.80976999,53.85279083,93809482.8907733,66705.5568661676
397,E14000926,Shrewsbury and Atcham,346360,307551,-2.79452991,52.66302109,602866958.666212,132317.012419896
398,E14000927,Sittingbourne and Sheppey,587151,164862,0.68629003,51.35200882,240433561.861691,132253.371811895
399,E14000928,Skipton and Ripon,398261,462236,-2.02805996,54.05607986,2094577573.86648,290935.896596676
400,E14000929,Sleaford and North Hykeham,503640,352930,-0.45484,53.063591,1120416111.38199,185965.044076756
401,E14000930,Slough,496543,180461,-0.61008,51.51483154,26681529.4884002,27735.9505492428
